Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Medal of Honor: Rising Sun,16,2003.0,8,139,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,441,7
Kirby's Dream Land,5,1992.0,4,361,2.71,0.61,1.7,0.11,5.13,70.0,4.0,7.8,4.0,1539,1
Microsoft Flight Simulator,13,1996.0,9,325,3.22,1.69,0.0,0.2,5.12,70.0,4.0,7.8,4.0,1539,1
Guitar Hero II,16,2006.0,3,428,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,647,7
Fable III,28,2010.0,7,325,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,851,5
Mario & Sonic at the Olympic Games,4,2008.0,10,448,1.63,2.45,0.44,0.57,5.09,70.0,4.0,7.8,4.0,1539,1
Resident Evil 5,17,2009.0,0,85,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,268,5
The Legend of Zelda: Phantom Hourglass,4,2007.0,0,361,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8,416.0,1020,1
Super Mario Bros.,5,1999.0,4,361,3.4,1.3,0.15,0.22,5.07,70.0,4.0,7.8,4.0,1539,1
FIFA Soccer 11,17,2010.0,10,139,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8,233.0,449,1
Resident Evil,15,1996.0,0,545,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9,266.0,268,5
Grand Theft Auto: Vice City Stories,19,2006.0,0,497,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8,150.0,1218,5
Tony Hawk's Pro Skater,15,1999.0,10,21,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,1004,7
Warzone 2100,15,1999.0,11,138,2.79,1.89,0.0,0.33,5.01,70.0,4.0,7.8,4.0,1539,1
Spyro the Dragon,15,1998.0,4,458,3.36,1.36,0.07,0.21,5.0,70.0,4.0,7.8,4.0,1539,1
Guitar Hero III: Legends of Rock,16,2007.0,3,21,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,1005,7
Link's Crossbow Training,26,2007.0,8,361,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,1020,7
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,4,2007.0,7,361,1.83,1.19,1.54,0.37,4.93,70.0,4.0,7.8,4.0,1539,1
Fallout 3,28,2008.0,7,66,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0,175,5
Uncharted: Drake's Fortune,17,2007.0,0,458,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0,990,7
Madden NFL 06,16,2005.0,10,139,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8,121.0,449,1
Diddy Kong Racing,10,1997.0,6,361,2.91,0.99,0.89,0.1,4.88,70.0,4.0,7.8,4.0,1539,1
